yyyy,m,mon,week_begin,date,dow,day,hour,pool,slots,state,username,app_name,tags,stmt_type,gb_grp,confidence,est_gb_grp,spill,stmts,err,qued,spilled,mx_q_sec,tot_q_sec,mx_exe_sec,tot_exe_sec,mx_run_sec,tot_run_sec,mx_mb,tot_mb,mx_spl_mb,tot_spl_mb
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,10:00,admin,1,done,ybdadmin,ybsql,,select,1,High,1,n,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,30,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,11:00,admin,1,done,ybdadmin,ybsql,,select,1,High,1,n,3,0,0,0,0.0,0.0,0.0,0.1,0.0,0.1,32,90,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,11:00,large,1,done,yellowbrick,ybrestore,,delete,1,None,1,n,1,0,0,0,0.0,0.0,0.1,0.1,0.1,0.1,270,270,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,11:00,large,1,done,yellowbrick,ybrestore,,delete,1,None,2,n,265,0,0,0,0.0,0.3,0.1,7.4,0.1,7.4,272,25660,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,11:00,large,1,done,yellowbrick,ybrestore,,other,1,High,4,n,282,0,0,0,0.0,0.3,6.5,52.3,6.5,52.3,1042,22790,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,11:00,large,1,done,yellowbrick,ybrestore,,other,2,High,4,n,3,0,0,0,0.0,0.0,104.8,227.9,104.8,227.9,2332,6874,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,11:00,large,1,done,yellowbrick,ybrestore,,select,1,High,1,n,266,0,0,0,0.0,0.3,0.1,5.2,0.1,5.2,168,22568,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,12:00,large,1,done,yellowbrick,ybrestore,,delete,1,None,2,n,1401,0,0,0,0.0,1.2,2.2,42.2,2.2,42.2,298,129154,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,12:00,large,1,done,yellowbrick,ybrestore,,other,1,High,4,n,1384,0,0,0,0.0,1.2,49.6,282.3,49.6,282.3,1230,97568,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,12:00,large,1,done,yellowbrick,ybrestore,,other,2,High,4,n,9,0,0,0,0.0,0.0,951.2,2122.7,951.2,2122.7,2546,19852,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,12:00,large,1,done,yellowbrick,ybrestore,,other,4,High,4,n,10,0,0,0,0.0,0.0,1212.2,1614.5,1212.2,1614.5,3236,28722,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,12:00,large,1,done,yellowbrick,ybrestore,,select,1,High,1,n,1401,0,0,0,0.0,1.2,1.3,28.6,1.3,28.6,300,118182,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,13:00,large,1,done,yellowbrick,ybrestore,,delete,1,None,1,n,1,0,0,0,0.0,0.0,0.1,0.1,0.1,0.1,268,268,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,13:00,large,1,done,yellowbrick,ybrestore,,delete,1,None,2,n,961,0,0,0,0.0,0.8,2.2,28.9,2.2,28.9,318,87686,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,13:00,large,1,done,yellowbrick,ybrestore,,other,1,High,4,n,978,0,0,0,0.0,0.8,4.5,119.3,4.5,119.3,506,67868,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,13:00,large,1,done,yellowbrick,ybrestore,,other,2,High,4,n,5,0,0,0,0.0,0.0,166.3,235.3,166.3,235.3,2546,10536,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,13:00,large,1,done,yellowbrick,ybrestore,,other,4,High,4,n,5,0,0,0,0.0,0.0,337.1,1150.6,337.1,1150.6,2914,14448,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,13:00,large,1,done,yellowbrick,ybrestore,,select,1,High,1,n,962,0,0,0,0.0,0.7,1.2,19.7,1.2,19.7,316,81398,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,14:00,large,1,done,yellowbrick,ybrestore,,delete,1,None,2,n,964,0,0,0,0.0,0.8,0.6,27.0,0.6,27.0,272,87930,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,14:00,large,1,done,yellowbrick,ybrestore,,other,1,High,4,n,946,0,0,0,0.0,0.8,13.4,124.4,13.4,124.4,922,70504,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,14:00,large,1,done,yellowbrick,ybrestore,,other,2,High,4,n,15,0,0,0,0.0,0.0,625.2,1855.7,625.2,1855.7,2542,34808,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,14:00,large,1,done,yellowbrick,ybrestore,,other,4,High,4,n,3,0,0,0,0.0,0.0,2517.1,2827.8,2517.1,2827.8,2886,8388,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,14:00,large,1,done,yellowbrick,ybrestore,,select,1,High,1,n,964,0,0,0,0.0,0.7,0.4,18.7,0.4,18.7,188,81414,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,15:00,large,1,done,yellowbrick,ybrestore,,delete,1,None,2,n,103,0,0,0,0.0,0.1,2.5,7.0,2.5,7.0,198,11192,0,0
2021,4,Apr,2021-04-19,2021-04-24,6,Sat,15:00,large,1,done,yellowbrick,ybrestore,,other,1,High,4,n,95,0,0,0,0.0,0.1,6.6,28.2,6.6,28.2,952,9592,0,0
